name,city,country
A.P. Film,,
Adia,Roma,Italy
Alba Film (Roma),Roma,Italy
Alba Film (Torino),Torino,Italy
Alleanza Cinematografica Italiana (A.C.I.),Roma,Italy
Amato Film,,Italy
Antea Cinematografica,,Italy
Apollo Films,Roma,Italy
Appia Cinematografica,,Italy
Argo Film,Torino,Italy
Armenia Film,Milano,Italy
Arno Film,,Italy
Artemis Film,,Italy
Arthur Ziehm,,Germany
Artisti Tecnici Associati (ATA),,Italy
Asso Film,,Italy
Astra Film,,Italy
Athena Cinematografica,,Italy
Atlantica Cinematografica Produzione Films,,Italy
Augusto Genina,Roma,Italy
Autori Direttori Italiani Associati,Roma,Italy
B.P. Schulberg Productions,Hollywood,USA
Bertini Film,Roma,Italy
C.I.C.,,France
Caesar Film,Roma,Italy
Capitani-Icar,Torino,Italy
Caserini Film,,Italy
Celio Film,Roma,Italy
Cento Fiori,,Italy
Centrale Cinematographique,,France
Centro Sperimentale di Cinematografia,Roma,Italy
Charitonoff,,Germany
Chimera Film,Roma,Italy
Cigna,,Italy
Ciné-Alliance,,France
Cinegrafie D'Eccezione,Roma,Italy
Cinès-Pittaluga,Roma,Italy
Cineteca del Comune di Bologna,Bologna,Italy
Circe Film,Torino,Italy
Comedia Film,Torino,Italy
Corona,Torino,Italy
Cosmopoli Film,Roma,Italy
Cosmopolitan Productions,New York,USA
D'Ambra Film,Roma,Italy
David-Karenne Film,Milano,Italy
De Liguoro Film,Roma,Italy
De Rosa Film,Milano,Italy
Decla-Bioscop AG,Babelsberg,Germany
Deulig Europa-Produktion,,Germany
Deutsche Vereins-Film AG (Defa-Deutsche Fox),,Germany
Diana Karenne,,Germany
Direttori Associati,Roma,Italy
E.D.A.,Roma,Roma
Editorial Casals,,Spain
Ente Nazionale Industrie Cinematografiche (ENIC),,Italy
Erda-Film GmbH (I),,Germany
Ermolieff-Film,,France
Etna Film,Catania,Italy
Excelsa Film,,Italy
Excelsa Films,"Torino, Genova",Italy
Excelsior Film,Roma,Italy
F.P.S.-Film GmbH,,Germany
Famous Players Film Company,Hollywood,USA
Famous Players-Lasky Corporation,Hollywood,USA
Faro Film,,Italy
Federated Film Exchange,,USA
Fert Film,"Roma, Torino",Italy
Fert Studios,"Roma, Torino",Italy
Fery-Film GmbH,,Germany
Figaro,,USA
Film Artistica Gloria,Torino,Italy
Film d'Arte Italiana,Roma,Italy
Film D'Eccezione,Roma,Italy
Film Production Company of Rome,Roma,Italy
Filmindustrie,,Germany
Filmmuseum Distributie,,Netherlands
Films Albatros,Paris,France
Films Gallone,Roma,Italy
Films Manipulation Agency,Torino,Italy
Films Sonores Tobis,,France
Fono Roma,Roma,Italy
Fox Film Corporation,Hollywood,USA
Franco Films,,France
Franco London Films,,France
Gallus Films,,France
Gaumont Company,,France
Gaumont-Franco Film-Aubert (G.F.F.A),,France
Generalcine,,Italy
Genina Film,Roma,Italy
Giani Film,,Italy
Gladiator Film,"Torino, Roma",Italy
Grandi Film Storici,Roma,Italy
Greenbaum-Film,,Germany
Guazzoni Film,Roma,Italy
Hal Roach Studios,Hollywood,USA
Harry Raver Inc.,,USA
I.C.S.A.,Firenze,Italy
Imperator Film,,Italy
Imperial Film,Torino,Italy
Industria Cinematografica Italiana (INCINE),,Italy
Industrie Cinematografiche Artistiche Romane (I.C.A.R.),,Italy
Industrie Nazionali Associate Cinematografiche (I.N.A.C.),,Italy
International Film-Exchange,,Germany
International Standard Film,,
Internationale Film AG (IFA),,Germany
Irpinia Cinematografica,,Italy
Istituto Luce,Roma,Italy
Itala Film,Torino,Italy
Italia Film,,Italy
Italo-Egiziana Film,Torino,Italy
Jacobini-Film (Berlin),Berlin,Germany
Jakob Karol Film GmbH,,Germany
Jupiter Film,Torino,Italy
Karl Grune Film,,Germany
Kolos,,
L'Écran d'Art,,France
La Centrale Cinématographique,,France
Länderfilm GmbH,,Germany
Latina Ars,Torino,Italy
Le Film d'Art,,France
Leo-Film,,
Les Établissements Braunberger-Richebé,,France
Les Films Marceau,,France
Les Productions Artistes Associés,,France
Lombardo Film,Napoli,Italy
Lothar Stark-Film,,Germany
Lux Film,,Italy
Madan Theatres,,India
Mambretti Film,,Italy
Mander Film,,
Manzini Film,,Italy
Mari Film,Torino,Italy
Maria Jacobini Film,,Italy
Martin Berger Film,,Germany
Max Glass Film,,Germany
Maxim-Film GmbH,,Germany
Mediterranea Film,,Italy
Medusa Film,Roma,Italy
Megale Film,Roma,Italy
Meinert Film,,Germany
Mengon-Film,,Germany
Metro-Goldwyn-Mayer (MGM),Hollywood,USA
Mezhrabpomfilm,,USSR
Miguel Contreras Torres,,Mexico
Milano Film,Milano,Italy
Ministero della Marina,Roma,Italy
Monopol-Film,Roma,Italy
Monopolio Lombardo,Napoli,Italy
Monumental-Film-Werke Berlin,Berlin,Germany
Münchner Lichtspielkunst AG (Emelka),,Germany
Munic,,Germany
Nero-Film AG,,Germany
Nordisk Film,Copenhagen,Denmark
Nova,,Italy
Nova Film,Roma,Italy
Novafilm,Roma,Italy
Novissima Film,Roma,Italy
Olimpus Film,Roma,Italy
Omnia-Film GmbH,,Germany
Ora Nostra,Genova,Italy
Orbis-Film,,Germany
Orplid-Film GmbH,,Germany
Otto Spitzer Film,,Austria
Palatino Film,Roma,Italy
Palermi Film,Roma,Italy
Paramount Pictures,Hollywood,USA
Paris International Film,,France
Paris-Rome Films,,France
Pasquali e C.,Torino,Italy
Pathé Consortium Cinéma,,France
Pathé Frères,,France
Phoebus-Film AG,,Germany
Phönix-Film AG,,Germany
Playgoers Film Company,,USA
Polifilm,Napoli,Italy
Polifilms,Napoli,Italy
Produzione Capitani Film,,Italy
Produzione Cinematografica F.I.D.E.S.,,Italy
Produzione Film Giuseppe Amato,Napoli,Italy
Produzione Superfilm Italiani,Roma,Italy
Produzioni Europee Associate (PEA),,Italy
Prometheus-Film-Verleih und Vertriebs-GmbH,,Germany
Rai 2,,Italy
RAI Radiotelevisione Italiana,,Italy
Réalisation d'art cinématographique (RAC),,France
Regina Productions,,
RIC-Geneva,,Switzerland
Richard Hirschfeld (Berlin),Berlin,Germany
Richard Oswald-Film GmbH,,Germany
Richard-Oswald-Produktion,,Germany
Rinascimento Film,Roma,Italy
Rodolfifilm,Torino,Italy
S.A.I.C.,Roma,Italy
S.I.L.A.,,Italy
Sabaudia Film,,Italy
Sabaudo Film,Milano,Italy
Safir,,Italy
Sangro Film,Roma,Italy
Savoia Film,Torino,Italy
Scalera Film,,Italy
Schermi del Mondo,,Italy
Selecta-Toddi,Roma,Italy
Sezione Cinematografica del Regio Esercito,,Italy
Sicula Film,Catania,Italy
Silentium Film,Milano,Italy
Sociedad Anónima de Films Españoles (SAFE),,Spain
Società Anonima Ambrosio,Torino,Italy
Società Anonima Films Attualità (SAFA),,Italy
Società Anonima Lombarda Industrie Cinematografiche (SALIC),,Italy
Societa Anonima Stefano Pittaluga,Torino,Italy
Società Esercizi Cinema e Teatro (SECET),,Italy
Società Italiana Cines,Roma,Italy
Società Italiana Grandi Films,Roma,Italy
Société Cinématographique des Romanciers Français,,France
Société des Cinéromans,,France
Société des Etablissements L. Gaumont,,France
Société Générale de Cinématographie (S.G.C.),,France
Société Nouvelle Pathé Cinéma,,France
Sofar-Film,,
Sofradis,,
Sphinx,Roma,Italy
Sterni Film,Roma,Italy
Super-Film GmbH,,Germany
Superfilms,Roma,Italy
Terra-Filmkunst,,Germany
Tespi Film,Roma,Italy
Theo Frenkel Film Cie.,,Netherlands
Tiber-film,Roma,Italy
Tiberia Film,,Italy
Titanus,,Italy
Transoceanic Film,,
Transozean Film GmbH,,Germany
Trianon-Film GmbH,,Germany
Turma Film,Berlin,Germany
Unione Cinematografica Italiana,Roma,Italy
Universal Film Manufacturing Company,Hollywood,USA
Universalia Film,,Italy
Universum Film (UFA),,Germany
Vay-Film,Milano,Italy
Ventura,,Italy
Vi-Va Film,,Italy
Visions d'Art,,France
Vrijzinnig Protestantse Radio Omroep (VPRO),,Netherlands
Warszawskie Biuro Kinematograficzne Feniks,,Poland
Welt-Film,,Germany
Wengeroff,,Germany
Westi Film,Roma,Italy
William Kahn-Film GmbH,,Germany
Yuca Film,,Netherlands
